,Date,Season,home,visitor,FT,hgoal,vgoal
16018,2012-04-08,2011,SC Paderborn 07,1860 Munchen,2-2,2,2
16019,2012-04-08,2011,FC Ingolstadt 04,Alemannia Aachen,3-3,3,3
16020,2012-04-08,2011,VfL Bochum,Karlsruher SC,0-0,0,0
16021,2012-04-10,2011,Eintracht Braunschweig,SpVgg Greuther Furth,0-0,0,0
16022,2012-04-10,2011,FC St. Pauli,1. FC Union Berlin,2-1,2,1
16023,2012-04-10,2011,Fortuna Dusseldorf,FSV Frankfurt,1-0,1,0
16024,2012-04-10,2011,Energie Cottbus,Hansa Rostock,0-1,0,1
16025,2012-04-11,2011,Alemannia Aachen,VfL Bochum,2-0,2,0
16026,2012-04-11,2011,1860 Munchen,MSV Duisburg,2-1,2,1
16027,2012-04-11,2011,Erzgebirge Aue,SC Paderborn 07,0-2,0,2
16028,2012-04-11,2011,Eintracht Frankfurt,FC Ingolstadt 04,1-1,1,1
16029,2012-04-11,2011,Karlsruher SC,Dynamo Dresden,2-0,2,0
16030,2012-04-13,2011,SpVgg Greuther Furth,FC St. Pauli,2-1,2,1
16031,2012-04-13,2011,Hansa Rostock,FSV Frankfurt,0-5,0,5
16032,2012-04-13,2011,1. FC Union Berlin,Eintracht Braunschweig,1-0,1,0
16033,2012-04-14,2011,Eintracht Frankfurt,Erzgebirge Aue,4-0,4,0
16034,2012-04-14,2011,MSV Duisburg,Alemannia Aachen,2-0,2,0
16035,2012-04-15,2011,SC Paderborn 07,Energie Cottbus,3-1,3,1
16036,2012-04-15,2011,VfL Bochum,1860 Munchen,2-2,2,2
16037,2012-04-15,2011,FC Ingolstadt 04,Karlsruher SC,2-1,2,1
16038,2012-04-16,2011,Dynamo Dresden,Fortuna Dusseldorf,2-1,2,1
16039,2012-04-20,2011,Energie Cottbus,VfL Bochum,1-1,1,1
16040,2012-04-20,2011,FSV Frankfurt,SpVgg Greuther Furth,1-1,1,1
16041,2012-04-20,2011,Eintracht Braunschweig,MSV Duisburg,0-0,0,0
16042,2012-04-21,2011,1860 Munchen,FC Ingolstadt 04,4-1,4,1
16043,2012-04-21,2011,Erzgebirge Aue,Dynamo Dresden,1-1,1,1
16044,2012-04-22,2011,Fortuna Dusseldorf,1. FC Union Berlin,2-1,2,1
16045,2012-04-22,2011,Karlsruher SC,SC Paderborn 07,2-0,2,0
16046,2012-04-22,2011,FC St. Pauli,Hansa Rostock,3-0,3,0
16047,2012-04-23,2011,Alemannia Aachen,Eintracht Frankfurt,0-3,0,3
16048,2012-04-29,2011,Dynamo Dresden,FC St. Pauli,1-0,1,0
16049,2012-04-29,2011,MSV Duisburg,Erzgebirge Aue,2-1,2,1
16050,2012-04-29,2011,FC Ingolstadt 04,Energie Cottbus,1-0,1,0
16051,2012-04-29,2011,SpVgg Greuther Furth,Fortuna Dusseldorf,1-1,1,1
16052,2012-04-29,2011,Eintracht Frankfurt,1860 Munchen,0-2,0,2
16053,2012-04-29,2011,SC Paderborn 07,FSV Frankfurt,1-0,1,0
16054,2012-04-29,2011,Alemannia Aachen,Karlsruher SC,1-0,1,0
16055,2012-04-29,2011,VfL Bochum,Eintracht Braunschweig,2-0,2,0
16056,2012-04-29,2011,1. FC Union Berlin,Hansa Rostock,5-4,5,4
16057,2012-05-06,2011,Karlsruher SC,Eintracht Frankfurt,1-0,1,0
16058,2012-05-06,2011,Erzgebirge Aue,VfL Bochum,2-1,2,1
16059,2012-05-06,2011,Hansa Rostock,SpVgg Greuther Furth,2-2,2,2
16060,2012-05-06,2011,Fortuna Dusseldorf,MSV Duisburg,2-2,2,2
16061,2012-05-06,2011,1860 Munchen,Alemannia Aachen,1-2,1,2
16062,2012-05-06,2011,Energie Cottbus,1. FC Union Berlin,2-1,2,1
16063,2012-05-06,2011,FC St. Pauli,SC Paderborn 07,5-0,5,0
16064,2012-05-06,2011,Eintracht Braunschweig,FC Ingolstadt 04,3-1,3,1
16065,2012-05-06,2011,FSV Frankfurt,Dynamo Dresden,1-1,1,1
16066,2012-08-03,2012,FC Ingolstadt 04,Energie Cottbus,2-2,2,2
16067,2012-08-03,2012,Erzgebirge Aue,FC St. Pauli,0-0,0,0
16068,2012-08-03,2012,Hertha BSC,SC Paderborn 07,2-2,2,2
16069,2012-08-04,2012,1860 Munchen,Jahn Regensburg,1-0,1,0
16070,2012-08-04,2012,VfL Bochum,Dynamo Dresden,2-1,2,1
16071,2012-08-05,2012,MSV Duisburg,VfR Aalen,1-4,1,4
16072,2012-08-05,2012,SV Sandhausen,FSV Frankfurt,1-1,1,1
16073,2012-08-05,2012,Eintracht Braunschweig,1. FC Koln,1-0,1,0
16074,2012-08-06,2012,1. FC Kaiserslautern,1. FC Union Berlin,3-3,3,3
16075,2012-08-10,2012,1. FC Koln,SV Sandhausen,1-1,1,1
16076,2012-08-10,2012,VfR Aalen,1. FC Kaiserslautern,1-2,1,2
16077,2012-08-10,2012,Energie Cottbus,Erzgebirge Aue,3-0,3,0
16078,2012-08-11,2012,SC Paderborn 07,VfL Bochum,4-0,4,0
16079,2012-08-11,2012,FC St. Pauli,FC Ingolstadt 04,1-1,1,1
16080,2012-08-12,2012,1. FC Union Berlin,Eintracht Braunschweig,0-1,0,1
16081,2012-08-12,2012,Jahn Regensburg,MSV Duisburg,2-0,2,0
16082,2012-08-12,2012,FSV Frankfurt,Hertha BSC,3-1,3,1
16083,2012-08-13,2012,Dynamo Dresden,1860 Munchen,2-2,2,2
16084,2012-08-24,2012,Hertha BSC,Jahn Regensburg,2-1,2,1
16085,2012-08-24,2012,Eintracht Braunschweig,SC Paderborn 07,2-1,2,1
16086,2012-08-24,2012,SV Sandhausen,1. FC Union Berlin,2-0,2,0
16087,2012-08-25,2012,MSV Duisburg,Dynamo Dresden,1-3,1,3
16088,2012-08-25,2012,Energie Cottbus,FC St. Pauli,2-0,2,0
16089,2012-08-26,2012,1. FC Kaiserslautern,1860 Munchen,0-0,0,0
16090,2012-08-26,2012,VfL Bochum,VfR Aalen,0-1,0,1
16091,2012-08-26,2012,FC Ingolstadt 04,FSV Frankfurt,0-2,0,2
16092,2012-08-27,2012,Erzgebirge Aue,1. FC Koln,2-0,2,0
16093,2012-08-31,2012,1860 Munchen,MSV Duisburg,3-0,3,0
16094,2012-08-31,2012,Dynamo Dresden,1. FC Kaiserslautern,1-3,1,3
16095,2012-08-31,2012,1. FC Koln,Energie Cottbus,0-1,0,1
16096,2012-09-01,2012,FC St. Pauli,SV Sandhausen,2-1,2,1
16097,2012-09-01,2012,VfR Aalen,Eintracht Braunschweig,0-3,0,3
16098,2012-09-02,2012,SC Paderborn 07,FC Ingolstadt 04,1-3,1,3
16099,2012-09-02,2012,FSV Frankfurt,Erzgebirge Aue,1-0,1,0
16100,2012-09-02,2012,Jahn Regensburg,VfL Bochum,0-1,0,1
16101,2012-09-03,2012,1. FC Union Berlin,Hertha BSC,1-2,1,2
16102,2012-09-14,2012,VfL Bochum,1860 Munchen,0-0,0,0
16103,2012-09-14,2012,FC Ingolstadt 04,1. FC Union Berlin,2-1,2,1
16104,2012-09-14,2012,Energie Cottbus,FSV Frankfurt,2-2,2,2
16105,2012-09-15,2012,Eintracht Braunschweig,Jahn Regensburg,1-0,1,0
16106,2012-09-15,2012,SV Sandhausen,Dynamo Dresden,1-1,1,1
16107,2012-09-16,2012,Hertha BSC,VfR Aalen,2-0,2,0
16108,2012-09-16,2012,1. FC Kaiserslautern,MSV Duisburg,2-1,2,1
16109,2012-09-16,2012,Erzgebirge Aue,SC Paderborn 07,0-1,0,1
16110,2012-09-17,2012,1. FC Koln,FC St. Pauli,0-0,0,0
16111,2012-09-21,2012,1. FC Union Berlin,1. FC Koln,2-1,2,1
16112,2012-09-21,2012,FSV Frankfurt,FC St. Pauli,2-1,2,1
16113,2012-09-21,2012,VfR Aalen,Erzgebirge Aue,2-0,2,0
16114,2012-09-22,2012,1. FC Kaiserslautern,Hertha BSC,1-1,1,1
16115,2012-09-22,2012,SC Paderborn 07,SV Sandhausen,3-0,3,0
16116,2012-09-22,2012,Jahn Regensburg,Energie Cottbus,0-1,0,1
16117,2012-09-23,2012,1860 Munchen,Eintracht Braunschweig,1-1,1,1
16118,2012-09-23,2012,Dynamo Dresden,FC Ingolstadt 04,0-1,0,1
16119,2012-09-23,2012,MSV Duisburg,VfL Bochum,0-0,0,0
16120,2012-09-25,2012,1. FC Koln,FSV Frankfurt,2-1,2,1
16121,2012-09-25,2012,FC St. Pauli,VfR Aalen,0-1,0,1
