,Date,Season,home,visitor,FT,hgoal,vgoal
12704,2008-04-16,2007,Eintracht Frankfurt,Bayern Munchen,1-3,1,3
12705,2008-04-16,2007,Arminia Bielefeld,Bayer Leverkusen,1-0,1,0
12706,2008-04-16,2007,VfB Stuttgart,1. FC Nurnberg,3-0,3,0
12707,2008-04-16,2007,Borussia Dortmund,Hannover 96,1-3,1,3
12708,2008-04-16,2007,MSV Duisburg,Karlsruher SC,0-1,0,1
12709,2008-04-25,2007,Eintracht Frankfurt,Borussia Dortmund,1-1,1,1
12710,2008-04-26,2007,Hamburger SV,FC Schalke 04,0-1,0,1
12711,2008-04-26,2007,Karlsruher SC,Werder Bremen,3-3,3,3
12712,2008-04-26,2007,Hannover 96,Hertha BSC,2-2,2,2
12713,2008-04-26,2007,1. FC Nurnberg,Arminia Bielefeld,2-2,2,2
12714,2008-04-26,2007,Energie Cottbus,Hansa Rostock,2-1,2,1
12715,2008-04-26,2007,VfL Bochum,MSV Duisburg,1-1,1,1
12716,2008-04-27,2007,Bayern Munchen,VfB Stuttgart,4-1,4,1
12717,2008-04-27,2007,Bayer Leverkusen,VfL Wolfsburg,2-2,2,2
12718,2008-05-02,2007,Borussia Dortmund,1. FC Nurnberg,0-0,0,0
12719,2008-05-03,2007,Hansa Rostock,Hamburger SV,1-3,1,3
12720,2008-05-03,2007,Arminia Bielefeld,VfL Bochum,2-0,2,0
12721,2008-05-03,2007,FC Schalke 04,Hannover 96,1-1,1,1
12722,2008-05-03,2007,Werder Bremen,Energie Cottbus,2-0,2,0
12723,2008-05-03,2007,VfB Stuttgart,Eintracht Frankfurt,4-1,4,1
12724,2008-05-03,2007,Hertha BSC,Karlsruher SC,3-1,3,1
12725,2008-05-04,2007,VfL Wolfsburg,Bayern Munchen,0-0,0,0
12726,2008-05-04,2007,MSV Duisburg,Bayer Leverkusen,3-2,3,2
12727,2008-05-06,2007,Borussia Dortmund,VfB Stuttgart,3-2,3,2
12728,2008-05-06,2007,VfL Bochum,FC Schalke 04,0-3,0,3
12729,2008-05-06,2007,Karlsruher SC,Energie Cottbus,1-1,1,1
12730,2008-05-06,2007,Hannover 96,Hansa Rostock,3-0,3,0
12731,2008-05-07,2007,Hamburger SV,Werder Bremen,0-1,0,1
12732,2008-05-07,2007,Bayer Leverkusen,Hertha BSC,1-2,1,2
12733,2008-05-07,2007,Bayern Munchen,Arminia Bielefeld,2-0,2,0
12734,2008-05-07,2007,Eintracht Frankfurt,VfL Wolfsburg,2-3,2,3
12735,2008-05-07,2007,1. FC Nurnberg,MSV Duisburg,2-0,2,0
12736,2008-05-10,2007,VfL Wolfsburg,VfB Stuttgart,4-0,4,0
12737,2008-05-10,2007,MSV Duisburg,Bayern Munchen,2-3,2,3
12738,2008-05-10,2007,Hansa Rostock,Bayer Leverkusen,1-2,1,2
12739,2008-05-10,2007,Hertha BSC,1. FC Nurnberg,1-0,1,0
12740,2008-05-10,2007,Energie Cottbus,Hamburger SV,2-0,2,0
