,Date,Season,home,visitor,FT,hgoal,vgoal
4218,2014-09-26,2014,Sporting Kansas City,New England Revolution,2-3,2,3
4219,2014-09-27,2014,Vancouver Whitecaps,Real Salt Lake,2-1,2,1
4220,2014-09-27,2014,Toronto FC,Portland Timbers,3-2,3,2
4221,2014-09-27,2014,Seattle Sounders,CD Chivas USA,4-2,4,2
4222,2014-09-27,2014,DC United,Philadelphia Union,1-0,1,0
4223,2014-09-27,2014,Columbus Crew,Montreal Impact,2-0,2,0
4224,2014-09-27,2014,Colorado Rapids,San Jose Earthquakes,1-1,1,1
4225,2014-09-28,2014,Houston Dynamo,Chicago Fire,2-0,2,0
4226,2014-09-28,2014,LA Galaxy,New York Red Bulls,4-0,4,0
4227,2014-10-02,2014,Philadelphia Union,Chicago Fire,1-1,1,1
4228,2014-10-03,2014,DC United,Sporting Kansas City,0-0,0,0
4229,2014-10-04,2014,Vancouver Whitecaps,FC Dallas,2-0,2,0
4230,2014-10-04,2014,New England Revolution,Columbus Crew,2-1,2,1
4231,2014-10-04,2014,New York Red Bulls,Houston Dynamo,1-0,1,0
4232,2014-10-05,2014,LA Galaxy,Toronto FC,3-0,3,0
4233,2014-10-05,2014,San Jose Earthquakes,Portland Timbers,1-2,1,2
4234,2014-10-05,2014,Colorado Rapids,Seattle Sounders,1-4,1,4
4235,2014-10-05,2014,Chicago Fire,Montreal Impact,0-0,0,0
4236,2014-10-05,2014,CD Chivas USA,Real Salt Lake,1-0,1,0
4237,2014-10-08,2014,Toronto FC,Houston Dynamo,0-1,0,1
4238,2014-10-09,2014,Portland Timbers,San Jose Earthquakes,3-0,3,0
4239,2014-10-10,2014,Sporting Kansas City,Chicago Fire,2-0,2,0
4240,2014-10-11,2014,Seattle Sounders,Vancouver Whitecaps,0-1,0,1
4241,2014-10-11,2014,Philadelphia Union,Columbus Crew,2-3,2,3
4242,2014-10-11,2014,New York Red Bulls,Toronto FC,3-1,3,1
4243,2014-10-11,2014,Real Salt Lake,San Jose Earthquakes,2-0,2,0
4244,2014-10-12,2014,CD Chivas USA,Colorado Rapids,2-0,2,0
4245,2014-10-12,2014,Montreal Impact,New England Revolution,2-2,2,2
4246,2014-10-12,2014,Houston Dynamo,DC United,1-3,1,3
4247,2014-10-12,2014,FC Dallas,LA Galaxy,2-1,2,1
4248,2014-10-16,2014,Houston Dynamo,New England Revolution,1-2,1,2
4249,2014-10-18,2014,Portland Timbers,Real Salt Lake,0-0,0,0
4250,2014-10-18,2014,Toronto FC,Montreal Impact,1-1,1,1
4251,2014-10-18,2014,Colorado Rapids,FC Dallas,0-1,0,1
4252,2014-10-18,2014,DC United,Chicago Fire,2-1,2,1
4253,2014-10-18,2014,Philadelphia Union,Sporting Kansas City,2-1,2,1
4254,2014-10-18,2014,New York Red Bulls,Columbus Crew,1-3,1,3
4255,2014-10-19,2014,LA Galaxy,Seattle Sounders,2-2,2,2
4256,2014-10-22,2014,Real Salt Lake,CD Chivas USA,2-0,2,0
4257,2014-10-24,2014,Chicago Fire,Houston Dynamo,2-1,2,1
4258,2014-10-25,2014,Seattle Sounders,LA Galaxy,2-0,2,0
4259,2014-10-25,2014,Montreal Impact,DC United,1-1,1,1
4260,2014-10-25,2014,Vancouver Whitecaps,Colorado Rapids,1-0,1,0
4261,2014-10-25,2014,New England Revolution,Toronto FC,1-0,1,0
4262,2014-10-25,2014,FC Dallas,Portland Timbers,0-2,0,2
4263,2014-10-26,2014,CD Chivas USA,San Jose Earthquakes,1-0,1,0
4264,2014-10-26,2014,Columbus Crew,Philadelphia Union,2-1,2,1
4265,2014-10-26,2014,Sporting Kansas City,New York Red Bulls,0-2,0,2
4266,2014-10-29,2014,FC Dallas,Vancouver Whitecaps,2-1,2,1
