,Date,home,visitor,hgoal,vgoal,goaldiff,result
2704,02/06/2019,Houston Dynamo,Sporting Kansas City,1,1,0,0
2705,02/06/2019,Portland Timbers,Los Angeles FC,2,3,-1,-1
2706,02/06/2019,Minnesota United,Philadelphia Union,2,3,-1,-1
2707,03/06/2019,Los Angeles Galaxy,New England Revolution,1,2,-1,-1
2708,06/06/2019,Montreal Impact,Seattle Sounders,2,1,1,1
2709,07/06/2019,New York City,Cincinnati,5,2,3,1
2710,08/06/2019,Toronto FC,Sporting Kansas City,2,2,0,0
2711,08/06/2019,San Jose Earthquakes,FC Dallas,2,2,0,0
2712,09/06/2019,Philadelphia Union,New York Red Bulls,3,2,1,1
2713,09/06/2019,Colorado Rapids,Minnesota United,1,0,1,1
2714,23/06/2019,FC Cincinnati,Los Angeles Galaxy,0,2,-2,-1
2715,23/06/2019,Chicago Fire,Real Salt Lake,1,1,0,0
2716,23/06/2019,FC Dallas,Toronto FC,3,0,3,1
2717,23/06/2019,Vancouver Whitecaps,Colorado Rapids,2,2,0,0
2718,23/06/2019,Portland Timbers,Houston Dynamo,4,0,4,1
2719,23/06/2019,Columbus Crew,Sporting Kansas City,0,1,-1,-1
2720,27/06/2019,New England Revolution,Philadelphia Union,1,1,0,0
2721,27/06/2019,Montreal Impact,Portland Timbers,2,1,1,1
2722,27/06/2019,DC United,Orlando City,1,0,1,1
2723,27/06/2019,Toronto FC,Atlanta United,3,2,1,1
2724,27/06/2019,FC Dallas,Vancouver Whitecaps,2,2,0,0
2725,27/06/2019,San Jose Earthquakes,Houston Dynamo,2,0,2,1
2726,29/06/2019,New York Red Bulls,Chicago Fire,3,1,2,1
2727,29/06/2019,Colorado Rapids,Los Angeles FC,1,0,1,1
2728,29/06/2019,Minnesota United,FC Cincinnati,7,1,6,1
2729,29/06/2019,Atlanta United,Montreal Impact,2,1,1,1
2730,30/06/2019,New York City,Philadelphia Union,4,2,2,1
2731,30/06/2019,Columbus Crew,Orlando City,0,2,-2,-1
2732,30/06/2019,New England Revolution,Houston Dynamo,2,1,1,1
2733,30/06/2019,DC United,Toronto FC,1,1,0,0
2734,30/06/2019,Real Salt Lake,Sporting Kansas City,2,0,2,1
2735,30/06/2019,San Jose Earthquakes,Los Angeles Galaxy,3,0,3,1
2736,30/06/2019,Seattle Sounders,Vancouver Whitecaps,1,0,1,1
2737,01/07/2019,Portland Timbers,FC Dallas,1,0,1,1
